1	world	just the term (country/nation)
1	country	related terms
1	international	related terms
1	politics	related terms
1	humankind; the human race; humanity	dictionary.com for world
1	"In its most general sense, the term ""world"" refers to the totality of entities, to the whole of reality or to everything that is."	Wikipedia first 5 sentence for world
2	sport	just the term
2	sports	related terms
2	racing	related terms
2	baseball	related terms
2	"an athletic activity requiring skill or physical prowess and often of a competitive nature, as racing, baseball, tennis, golf, bowling, wrestling, boxing, hunting, fishing, etc."	dictionary.com for sport
2	"Sport pertains to any form of competitive physical activity or game that aims to use, maintain or improve physical ability and skills while providing enjoyment to participants and, in some cases, entertainment to spectators."	Wikipedia first 5 sentence for sport
3	business	just the term
3	finance	related terms
3	money	related terms
3	trade	related terms
3	the purchase and sale of goods in an attempt to make a profit.	dictionary.com for business
3	"Business is the activity of making one's living or making money by producing or buying and selling products (such as goods and services)."	Wikipedia first 5 sentence for business
4	technology	just the term
4	science	related terms
4	computer	related terms
4	biology	related terms
4	"the branch of knowledge that deals with the creation and use of technical means and their interrelation with life, society, and the environment, drawing upon such subjects as industrial arts, engineering, applied science, and pure science."	first explanation in dictionary.com for technology
4	"Technology is the continually developing result of accumulated knowledge and application in all techniques, skills, methods, and processes used in industrial production and scientific research."	Wikipedia first 5 sentence for technology
