1	society	just the term (Society & Culture)
1	culture	just the term (Society & Culture)
1	an organized group of persons associated together for religious, benevolent, cultural, scientific, political, patriotic, or other purposes.	dictionary.com for society
1	the behaviors and beliefs characteristic of a particular group of people, as a social, ethnic, professional, or age group (usually used in combination)	dictionary.com for culture
1	A society is a group of individuals involved in persistent social interaction, or a large social group sharing the same spatial or social territory, typically subject to the same political authority and dominant cultural expectations.	wiki 1st sentence for society
1	Culture is an umbrella term which encompasses the social behavior, institutions, and norms found in human societies, as well as the knowledge, beliefs, arts, laws, customs, capabilities, and habits of the individuals in these groups.	wiki 1st sentence for culture (remove IPA)
2	science	just the term (Science & Mathematics)
2	mathematics	just the term (Science & Mathematics)
2	a branch of knowledge or study dealing with a body of facts or truths systematically arranged and showing the operation of general laws	dictionary.com for science
2	the systematic treatment of magnitude, relationships between figures and forms, and relations between quantities expressed symbolically.	dictionary.com for mathematics, remove "(used with a singular verb)"
2	Science is a systematic endeavor that builds and organizes knowledge in the form of testable explanations and predictions about the universe.
2	Mathematics is an area of knowledge that includes such topics as numbers, formulas and related structures, shapes and the spaces in which they are contained, and quantities and their changes.	remove "(from Ancient Greek μάθημα; máthēma: 'knowledge, study, learning')"
3	health	just the term (Health)
3	fitness	related term
3	medical	related term
3	diet	related term
3	the general condition of the body or mind with reference to soundness and vigor	dictionary.com for health
3	"Health, according to the World Health Organization, is ""a state of complete physical, mental and social well-being and not merely the absence of disease and infirmity""."	wiki 1st sentence for health
4	education	just the term (Education & Reference)
4	reference	just the term (Education & Reference)
4	the act or process of imparting or acquiring general knowledge, developing the powers of reasoning and judgment, and generally of preparing oneself or others intellectually for mature life.	dictionary.com for education
4	a book or other source of useful facts or information, such as an encyclopedia, dictionary, etc.	
4	Education is a purposeful activity directed at achieving certain aims, such as transmitting knowledge or fostering skills and character traits.	wiki
4	Reference is a relationship between objects in which one object designates, or acts as a means by which to connect to or link to, another object.
5	computer	just the term (Computers & Internet)
5	internet	just the term (Computers & Internet)
5	a programmable electronic device designed to accept data, perform prescribed mathematical and logical operations at high speed, and display the results of these operations. Mainframes, desktop and laptop computers, tablets, and smartphones are some of the different types of computers.
5	Usually the internet (except when used before a noun). a vast computer network linking smaller computer networks worldwide. The internet includes commercial, educational, governmental, and other networks, all of which use the same set of communications protocols
5	A computer is a digital electronic machine that can be programmed to carry out sequences of arithmetic or logical operations (computation) automatically.
5	The Internet (or internet) is the global system of interconnected computer networks that uses the Internet protocol suite (TCP/IP) to communicate between networks and devices.
6	sport	just the term (Sports)
6	sports	related terms
6	racing	related terms
6	baseball	related terms
6	"an athletic activity requiring skill or physical prowess and often of a competitive nature, as racing, baseball, tennis, golf, bowling, wrestling, boxing, hunting, fishing, etc."	dictionary.com for sport
6	"Sport pertains to any form of competitive physical activity or game that aims to use, maintain or improve physical ability and skills while providing enjoyment to participants and, in some cases, entertainment to spectators."	Wikipedia first 5 sentence for sport
7	business	just the term (Business & Finance)
7	finance	just the term (Business & Finance)
7	the purchase and sale of goods in an attempt to make a profit.	dictionary.com for business
7	the management of revenues; the conduct or transaction of money matters generally, especially those affecting the public, as in the fields of banking and investment.
7	"Business is the activity of making one's living or making money by producing or buying and selling products (such as goods and services)."	Wikipedia first 5 sentence for business
7	Finance is the study and discipline of money, currency and capital assets.
8	entertainment	just the term (Entertainment & Music)
8	music	just the term (Entertainment & Music)
8	the act of entertaining; agreeable occupation for the mind; diversion; amusement
8	an art of sound in time that expresses ideas and emotions in significant forms through the elements of rhythm, melody, harmony, and color.
8	Entertainment is a form of activity that holds the attention and interest of an audience or gives pleasure and delight.
8	Music is generally defined as the art of arranging sound to create some combination of form, harmony, melody, rhythm or otherwise expressive content.
9	family	just the term (Family & Relationships)
9	relationship	just the term (Family & Relationships)
9	a basic social unit consisting of parents and their children, considered as a group, whether dwelling together or not; a social unit consisting of one or more adults together with the children they care for.
9	an emotional or other connection between people	
9	Family is a group of people related either by consanguinity (by recognized birth) or affinity (by marriage or other relationship).	remove "(from Latin: familia)"
9	The concept of interpersonal relationship involves social associations, connections, or affiliations between two or more people.	wiki for interpersonal relationship
10	politics	just the term (Politics & Government)
10	government	just the term (Politics & Government)
10	the science or art of political government.
10	the political direction and control exercised over the actions of the members, citizens, or inhabitants of communities, societies, and states; direction of the affairs of a state, community, etc.; political administration
10	Politics is the set of activities that are associated with making decisions in groups, or other forms of power relations among individuals, such as the distribution of resources or status.	remove "(from Greek: Πολιτικά, politiká, 'affairs of the cities')"
10	A government is the system or group of people governing an organized community, generally a state.
